metabolism	KEGG pathways
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
glycerophospholipid metabolism	sce00564
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
inositol phosphate metabolism	sce00562
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
steroid biosynthesis	sce00100
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
glycerolipid metabolism	sce00561
pyruvate metabolism	sce00620
histidine metabolism	sce00340
pyrimidine metabolism	sce00240
Transport[c, v]	
Transport[c, v]	
oxidative phosphorylation	sce00190
oxidative phosphorylation	sce00190
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[m, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[c, e]	
Transport[c, e]	
Transport[e, c]	
Transport[e, c]	
Transport[c, m]	
Transport[p, c]	
Transport[c, m]	
Transport[e, c]	
Transport[e, c]	
Transport[e, c]	
Transport[p, c]	
Transport[m, c]	
Transport[e, c]	
